rank,dataset_id,title,organisation,formats,confidence,reason,record_grain,likely_fields,rule_score,licence,found_by,landing_page,download_format,resource_name,download_url
13,ca1218a4-7091-4c30-9212-39bfaf5b0b55,List of Veterinary Surgeons registered with the Veterinary Surgeons Board as of 8 January 2015,Primary Industries,CSV,1.0,This is a direct register of individual professional entities.,entity,legal_name|address_full|date_registered,0.2,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/list-of-veterinary-surgeons-registered-with-the-veterinary-surgeons-board-as-of-8-january-2015,CSV,List of Veterinary Surgeons currently registered in Queensland with the Veterinary Surgeons Board,https://www.daff.qld.gov.au/__data/assets/file/0020/240392/vsb-veterinary-surgeons-board-register-of-registered-veterinary-surgeons-as-of-8-january-2015.csv
14,d04d529a-a091-44c4-a8fd-816ed86cbfdf,List of Registered Veterinary Specialist in Queensland,Primary Industries,CSV,1.0,This is a direct register of individual professional entities.,entity,legal_name|address_full|date_registered,0.2,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/registered-veterinary-specialist-qld,CSV,Register of Veterinary Specialist in Queensland as at 8 January 2015,https://www.daff.qld.gov.au/__data/assets/file/0008/240389/vsb-specialist-registration-8-january-2015.csv
15,388c5a74-fa9e-4b48-8881-95467e92fe6a,ASIC - Liquidator Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,1.0,This is a direct list of liquidators registered with ASIC.,entity,legal_name|acn|status|date_registered,0.15,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-liquidator,CSV,Liquidator Dataset - Current,https://data.gov.au/data/dataset/388c5a74-fa9e-4b48-8881-95467e92fe6a/resource/02388d87-3f0b-48fd-bffa-c4a661962fc3/download/liquidator_202609.csv
16,cf3fb933-34a2-4200-9c6e-c806bbc58a1f,Companies 1863 to 1959,Queensland State Archives,CSV,1.0,Historical index of registered Queensland companies.,entity,legal_name|date_registered,0.15,cc-by-4,dataset_text,https://data.gov.au/dataset/companies-1863-to-1959,CSV,Companies 1863 to 1959,https://www.data.qld.gov.au/dataset/cf3fb933-34a2-4200-9c6e-c806bbc58a1f/resource/1cf4cc1d-0699-46c4-ba0a-884f72806ad2/download/companies-index-1863-1959-.csv
17,6f1cc305-a8b2-4748-bd40-c00754ad6504,Victorian liquor licences by location,Liquor Control Victoria,CSV|XLSX,0.95,This is a register of licensed entities with their names and contact addresses.,entity,legal_name|trading_name|address_full|postcode,0.35,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/victorian-liquor-licences-by-location,CSV,Mar 2022,https://content.vic.gov.au/sites/default/files/2023-04/Geo-coded-location-as-at-31-March-2022.csv
18,980b6499-c0b4-491b-ba9c-1c7506368a50,QBCC Licensed Contractors Register,Queensland Building and Construction Commission,CSV,0.95,This is a comprehensive register of licensed construction contractors.,entity,legal_name|entity_type|status,0.35,cc-by-4,dataset_text,https://data.gov.au/dataset/qbcc-licensed-contractors-register,CSV,QBCC register of licensed builders and contractors,https://www.data.qld.gov.au/dataset/980b6499-c0b4-491b-ba9c-1c7506368a50/resource/25608781-b28c-44f8-8545-0ab18d84082f/download/builder-contractor-qbcc-licensee-register.csv
19,ccb9f9d1-5e77-49f7-a78d-7475c3da5362,Junior Minerals Exploration Incentive credit allocations,Australian Taxation Office,XLSX,0.95,Directly lists companies and their ABNs for a specific incentive program.,entity,legal_name|abn,0.225,Creative Commons Attribution 2.5 Australia,dataset_text,https://data.gov.au/dataset/junior-minerals-exploration-incentive-credit-allocations,XLSX,Junior Minerals Exploration Incentive credit allocations,https://data.gov.au/data/dataset/ccb9f9d1-5e77-49f7-a78d-7475c3da5362/resource/ddf75a39-d948-4faa-8622-a330cf36219b/download/jmei_allocation-2017-25.xlsx
20,c2524c87-cea4-4636-acac-599a82048a26,Corporate Tax Transparency,Australian Taxation Office,XLSX,0.95,Publishes tax data per corporate entity.,entity,legal_name|abn,0.225,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/corporate-transparency,EXCEL (.XLSX),2023-24 Report of Entity Tax Information,https://data.gov.au/data/dataset/c2524c87-cea4-4636-acac-599a82048a26/resource/491b366b-aa6f-4b1c-b39d-cebaeeb6f874/download/2023-24-corporate-report-of-entity-tax-information.xlsx
21,1ca29b03-220d-4c19-b34e-c7932cd4508d,Victorian Government Schools ABNs,Department of Education,XLSX,0.9,Contains identifying information for individual Victorian government schools.,entity,legal_name|abn,0.725,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/victorian-government-schools-abns,XLSX,Victorian Government Schools ABNs,http://www.education.vic.gov.au/Documents/about/research/datavic/dv183-schoolABNdetails.xlsx
22,a265ef83-1190-4c63-ac51-a0ca3966c666,Victorian liquor licences split by licence type,Liquor Control Victoria,CSV,0.9,A register of specific liquor licence holders in Victoria.,entity,legal_name|address_full|state,0.5,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/victorian-liquor-licences-split-by-licence-type,CSV,BYO Permit,https://dar6fu3d3rk1b.cloudfront.net/datasets/liqvic/BYO_Permit.csv
23,a5fde808-ba32-4cee-bfcb-fbb3afa56a28,ASIC - Banned and Disqualified Organisations Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,0.9,Lists specific individuals or organisations that are banned or disqualified by ASIC.,entity,legal_name|status,0.45,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-banned-disqualified-org,CSV,Banned and Disqualified Organisations - Current,https://data.gov.au/data/dataset/a5fde808-ba32-4cee-bfcb-fbb3afa56a28/resource/ced03961-e6f7-4263-895a-0fd1d7996043/download/bd_org_202609.csv
24,f2b7c2c1-f4ef-4ae9-aba5-45c19e4d3038,ASIC – Financial Advisers Dataset,Australian Securities and Investments Commission (ASIC),CSV|XLSX,0.9,Identifies individual financial advisers registered with ASIC.,entity,legal_name|status,0.4,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-financial-adviser,CSV,Financial Advisers Dataset - Current,https://data.gov.au/data/dataset/f2b7c2c1-f4ef-4ae9-aba5-45c19e4d3038/resource/91d80440-5787-46fc-99de-0c1d93e6cc9f/download/financial_advisers_202609.csv
25,37390371-9da4-42d8-9304-649c50090611,ASIC – Self-Managed Super Fund Auditor Dataset,Australian Securities and Investments Commission (ASIC),CSV|XLSX,0.9,Provides a register of individual registered auditors for self-managed super funds.,entity,legal_name|status,0.4,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-smsf,CSV,SMSF Auditor Dataset - Current,https://data.gov.au/data/dataset/37390371-9da4-42d8-9304-649c50090611/resource/13b12e77-8fda-42ca-aa43-23715036836b/download/smsf_auditor_202604.csv
26,8a1ad782-3d60-4c34-8cd8-f11c031947b7,Fair Jobs Code Registers,"Department of Jobs, Skills, Industry and Regions",CSV,0.9,A registry of specific businesses compliant with the Fair Jobs Code.,entity,legal_name|abn,0.4,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/fair-jobs-code-registers,CSV,Fair Jobs Code certificate register CSV,https://fjc-vic-gov.my.salesforce-sites.com/downloadCertExport
27,297dfb0e-3b94-433b-be64-3bb0905e28a4,Liquor licence premises list,Liquor and Gaming NSW,CSV|XLSX,0.9,Contains records for individual liquor licence venues in NSW.,entity,legal_name|trading_name|address_full|postcode,0.4,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/nsw-liquor-licence-premises-list,CSV,Premises list (as at June 2020),https://data.nsw.gov.au/data/dataset/297dfb0e-3b94-433b-be64-3bb0905e28a4/resource/bda22b68-8e4f-4028-b725-52dc0912a626/download/ebethanypremises-list-as-at-june-2020.csv
28,c6f35652-d145-478a-8c54-11ce5db4dd16,Premises list as of 1 Nov 2020,Data.NSW,CSV,0.9,Lists individual liquor licence premises in NSW.,entity,legal_name|address_full|status,0.4,notspecified,dataset_text,https://data.gov.au/dataset/nsw-premises-list-as-of-1-nov-2020,CSV,Premises list as of 1 November 2020,https://data.nsw.gov.au/data/dataset/c6f35652-d145-478a-8c54-11ce5db4dd16/resource/85dd2cce-8f3c-4e9b-bee2-adce13bca10d/download/premises-list-as-of-1-november-2020.csv
29,2f40102e-1ea3-4b13-bbff-f217435ce992,"Bar, tavern, pub patron capacity",City of Melbourne Open Data,CSV|GEOJSON|JSON,0.9,Business establishments are identified by trading name and address within this City of Melbourne dataset.,entity,trading_name|address_full|locality,0.35,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/bar-tavern-pub-patron-capacity1,CSV,,https://data.melbourne.vic.gov.au/api/v2/catalog/datasets/bars-and-pubs-with-patron-capacity/exports/csv
30,cc83c07e-b7ee-47f3-80f5-106014e8ca46,"Bar, tavern, pub patron capacity",City of Melbourne,CSV|GEOJSON|JSON|XLS,0.9,Contains business establishments with their trading names and addresses.,entity,trading_name|address_full|locality,0.35,Other (Open),dataset_text,https://data.gov.au/dataset/bar-tavern-pub-patron-capacity,CSV,"Bar, tavern, pub patron capacity CSV",https://data.melbourne.vic.gov.au/api/v2/catalog/datasets/bars-and-pubs-with-patron-capacity/exports/csv?delimiter=%2C
31,b87dd539-7997-4de4-bd77-1d7a86973ddc,"Café, restaurant, bistro seats",City of Melbourne Open Data,CSV|GEOJSON|JSON,0.9,Each row represents a business establishment identified by trading name and location.,entity,trading_name|address_full|industry_code,0.35,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/cafe-restaurant-bistro-seats1,CSV,,https://data.melbourne.vic.gov.au/api/v2/catalog/datasets/cafes-and-restaurants-with-seating-capacity/exports/csv
32,fb09c883-7139-494c-8adb-875dc7f26040,"Café, restaurant, bistro seats",City of Melbourne,CSV|GEOJSON|JSON|XLS,0.9,Each row represents a business establishment identified by trading name and location.,entity,trading_name|address_full|industry_code,0.35,Other (Open),dataset_text,https://data.gov.au/dataset/cafe-restaurant-bistro-seats,CSV,"Café, restaurant, bistro seats CSV",https://data.melbourne.vic.gov.au/api/v2/catalog/datasets/cafes-and-restaurants-with-seating-capacity/exports/csv?delimiter=%2C
33,f642b13c-bbe3-4e17-b6dd-f91cf273e4d0,Outdoor Dining Permits,City of Adelaide,CSV,0.9,The dataset lists specific businesses holding outdoor dining permits.,entity,legal_name|address_full,0.3,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/outdoor-dining-permits,CSV,Outdoor Dining Permits,https://s3.ap-southeast-2.amazonaws.com/dmzweb.adelaidecitycouncil.com/OpenData/Outdoor_Dining/Outdoor_Dining_Permits.csv
34,d61374dd-1a62-4132-913d-35d90cfdac81,Intellectual Property Longitudinal Research Data (IPLORD),IP Australia,CSV|ZIP,0.9,Provides an applicant-centric view of intellectual property filings.,entity,legal_name|abn,0.25,Creative Commons Attribution 4.0 International,dataset_text,https://data.gov.au/dataset/intellectual-property-longitudinal-research-data-2020,CSV,iplord_1901_2020_full_data_set.csv,https://data.gov.au/data/dataset/d61374dd-1a62-4132-913d-35d90cfdac81/resource/8ff87fe0-d50e-450f-9b51-21366072d449/download/iplord_1901_2020_full_data_set.csv
35,34b35c52-8af0-4cc1-aa0b-2278f6416d09,ACNC 2019 Annual Information Statement Data,Australian Charities and Not-for-profits Commission (ACNC),CSV|XLSX,0.9,This dataset contains registry information for registered Australian charities.,entity,legal_name|abn,0.25,Creative Commons Attribution 2.5 Australia,dataset_text,https://data.gov.au/dataset/acnc-2019-annual-information-statement-data,CSV,ACNC 2019 AIS Dataset CSV,https://data.gov.au/data/dataset/34b35c52-8af0-4cc1-aa0b-2278f6416d09/resource/76006467-18f2-4094-a1cb-50544fd9b7b2/download/datadotgov_ais19.csv
36,57d6ae20-3139-44e0-92cb-a2e706a8eba0,Contracts ACT Report as at 31 December 2020,ACT Government Open Data,CSV|JSON|XML,0.9,Contract registers list individual supplier contracts as events.,event,legal_name|abn,0.25,notspecified,dataset_text,https://data.gov.au/dataset/wp9g-3hg8,CSV,,https://www.data.act.gov.au/api/v3/views/wp9g-3hg8/export.csv?accessType=DOWNLOAD
37,31203511-887c-4d44-96af-cad2c6cd05f1,Contracts Register,ACT Government Open Data,CSV|JSON|XML,0.9,A register of government contracts is inherently a list of contract events.,event,legal_name|abn,0.25,Other,dataset_text,https://data.gov.au/dataset/pfs5-8d64,CSV,,https://www.data.act.gov.au/api/v3/views/pfs5-8d64/export.csv?accessType=DOWNLOAD
38,5c7fa69b-b0e9-4553-b8df-2a022dd2e982,Historical Australian Government Contract Notice Data,Department of Finance,CSV|XLSX,0.9,Historical AusTender records report specific government contract notices.,event,legal_name|abn,0.25,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/historical-australian-government-contract-data,CSV,2017-18 Australian Government Contract Data,https://data.gov.au/data/dataset/5c7fa69b-b0e9-4553-b8df-2a022dd2e982/resource/bc2097b7-8116-4e9d-9953-98813635892a/download/17-18-fy-dataset.csv
39,05495e07-b6c6-4c82-8be1-b468204e10c3,Contracts Register - 2000 to 2016,ACT Government Open Data,CSV|JSON|XML,0.9,A historical contract register lists specific contractual agreements.,event,legal_name,0.25,Other,dataset_text,https://data.gov.au/dataset/8wge-3sy9,CSV,,https://www.data.act.gov.au/api/v3/views/8wge-3sy9/export.csv?accessType=DOWNLOAD
40,8792a410-dea1-4fc9-b783-b97f0fefc208,Queensland Treasury Corporation - Contract Disclosure Report,Treasury,CSV,0.9,Contract disclosure reports detail specific awards to suppliers.,event,legal_name,0.25,CC-BY-3.0,dataset_text,https://data.gov.au/dataset/queensland-treasury-corporation-contract-disclosure-reports,CSV,Queensland Treasury Corporation Contracts Disclosure 2023-2024,https://www.data.qld.gov.au/dataset/8792a410-dea1-4fc9-b783-b97f0fefc208/resource/aa3f7a45-0860-4a28-bfd5-a527d7eb1442/download/queensland-treasury-corporation-contracts-disclosure-2023-24-1.csv
41,ab94e84b-114a-4b57-b497-725ad4ca975e,AusTender Contract Notice Export,Department of Finance,XLS,0.9,A recurring export of government contract notices listing individual contract awards.,event,legal_name|abn,0.225,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/austender-contract-notice-export,XLS,AusTender-Contract-Notice-Export_130105.xls,http://data.gov.au/storage/f/2013-05-12T202412/tmph1yFnyAusTender-Contract-Notice-Export_130105.xls
42,e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39,ASIC - Banned and Disqualified Persons Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,0.9,This lists banned individuals or entities disqualified from roles.,entity,legal_name|acn,0.2,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-banned-disqualified-per,CSV,Banned and Disqualified Persons - Current,https://data.gov.au/data/dataset/e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39/resource/741da9e3-7e0c-458e-830c-c518698e1788/download/bd_per_202609.csv
43,3a4d1d90-f164-402a-a775-e280c1bd3c54,Contracts,Queensland Human Rights Commission,CSV,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,event,legal_name|abn,0.2,CC-BY-4.0,dataset_text,https://data.gov.au/dataset/contract-disclosures,CSV,QHRC contract disclosure 2025-2026,https://www.data.qld.gov.au/dataset/3a4d1d90-f164-402a-a775-e280c1bd3c54/resource/fe3822a1-2390-45f0-be7b-0164f88106cd/download/qhrc-contract-disclosures-july-2026.csv
44,f916f4ef-56f1-4d29-a061-6de7c3bbb3d4,DESBT Contract Disclosure,"Trade, Employment and Training",CSV,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,event,legal_name|abn,0.2,CC-BY-4.0,dataset_text,https://data.gov.au/dataset/desbt-contract-disclosure,CSV,DESBT Contract Disclosure FY 2019-2020.csv,https://www.data.qld.gov.au/dataset/f916f4ef-56f1-4d29-a061-6de7c3bbb3d4/resource/d4e305bb-42f0-4bdb-b784-b371f31e39bb/download/desbt-contract-disclosure-fy-2019-2020.csv
45,1efa3f90-819b-4ec5-9a0c-cc35527e8255,MIWB Contract Disclosure 2025-2026,Mount Isa Water Board,CSV,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,event,legal_name|abn,0.2,CC-BY-4.0,dataset_text,https://data.gov.au/dataset/miwb-contract-disclosure-register-2025-2026-csv,CSV,MIWB Contract Disclosure 2025-2026,https://www.data.qld.gov.au/dataset/1efa3f90-819b-4ec5-9a0c-cc35527e8255/resource/8a9fec3b-3e90-4713-9ede-2b071f24d329/download/miwb-contract-disclosure-register-2025-2026.csv
46,8d3a40b6-c3b8-4164-9662-d892aa682f03,Economic Development Queensland Contract Disclosure,Economic Development Queensland,CSV,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,event,legal_name|abn,0.2,CC-BY-4.0,dataset_text,https://data.gov.au/dataset/edq-contract-disclosure,CSV,EDQ Contract Disclosure 2026-27,https://www.data.qld.gov.au/dataset/8d3a40b6-c3b8-4164-9662-d892aa682f03/resource/9845e679-fe9c-4927-9197-aa359c9ea4a1/download/edq-contract-disclosure-2026-27.csv
47,7c190e42-7e49-48a4-a0ab-4d4418f9055b,FY 2022-23_QBCC_Contracts disclosure report,Queensland Building and Construction Commission,CSV,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,event,legal_name|abn,0.2,cc-by-4,dataset_text,https://data.gov.au/dataset/fy-2022-23_qbcc_contracts-disclosure-report,CSV,FY_2022-23_QBCC_Contracts Disclosure Report,https://www.data.qld.gov.au/dataset/7c190e42-7e49-48a4-a0ab-4d4418f9055b/resource/06f1e997-b058-4164-9dec-6b7e43c50bfd/download/fy-2022-23_qbcc_contract-disclosure-report.csv
48,f4e5fd07-eb6a-420c-a857-6eda213ba6a3,Liquor licence premises list as at 8 Feb 2021,Department of Customer Service,CSV,0.9,Lists specific business premises holding liquor licences.,entity,legal_name|trading_name|address_full|postcode,0.2,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/nsw-liquor-licence-premises-list-as-at-8-feb-2021,CSV,Premises list (as at 8 February 2021),https://data.nsw.gov.au/data/dataset/f4e5fd07-eb6a-420c-a857-6eda213ba6a3/resource/530d86bc-cdc3-4e3f-b828-5106cd0e48c3/download/premises-list-as-at-8-february-2021.csv
49,ec471ddf-f61f-45de-bb33-724780c62427,VostroNet (Australia) Pty Ltd - Declaration-Multiple - 22 July 2025, SIP Register - VostroNet (Australia) Pty Ltd,CSV|ZIP,0.9,Declaration records for a specific corporation at various locations.,entity,legal_name|address_full|state|postcode,0.15,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/vostronet-australia-pty-ltd-declaration-multiple-22-july-2025,CSV,Blanked for data.gov,https://data.gov.au/data/dataset/ec471ddf-f61f-45de-bb33-724780c62427/resource/6e53042c-3525-4482-96e4-08c08c698246/download/blanked-for-data.gov.csv
50,8750aeb3-c289-4db4-8840-16906f16ef32,VostroNet (Australia) Pty Ltd - Declaration - 21 August 2025 - Brunswick, SIP Register - VostroNet (Australia) Pty Ltd,CSV|ZIP,0.9,Declaration records for a specific corporation at a service area.,entity,legal_name|address_full|state|postcode,0.15,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/vostronet-pty-ltd-declaration-21-august-2025-brunswick,CSV,Blanked for data.gov,https://data.gov.au/data/dataset/8750aeb3-c289-4db4-8840-16906f16ef32/resource/dfb6ae4e-047e-464b-8f69-75e667a4230f/download/blanked-for-data.gov.csv
