checked,checker_confidence,dataset_id,download_url,entity_columns,example_entity,landing_page,model_confidence,model_reason,problem,rank,signal_abn_shaped_values,signal_acn_shaped_values,signal_column_count,signal_columns_mention_business,signal_company_word_hits,signal_name_like_columns,sniffed_format,title,verdict_yes_no,what_a_row_is,what_you_saw
True,1.0,a5fde808-ba32-4cee-bfcb-fbb3afa56a28,https://data.gov.au/data/dataset/a5fde808-ba32-4cee-bfcb-fbb3afa56a28/resource/ced03961-e6f7-4263-895a-0fd1d7996043/download/bd_org_202609.csv,BD_ORG_ACN|BD_ORG_NAME,AUSTRALIAN BUSINESS INSURANCE ADVISERS (ABIA) PTY LTD,https://data.gov.au/dataset/asic-banned-disqualified-org,0.9,Lists specific individuals or organisations that are banned or disqualified by ASIC.,,23,0,8,8,True,16,"[""\ufeffREGISTER_NAME"", ""BD_ORG_ACN"", ""BD_ORG_NAME""]",TSV,ASIC - Banned and Disqualified Organisations Dataset,yes,a banned or disqualified Australian organisation,The dataset specifically lists banned Australian business entities along with their company names and ACN identifiers.
True,0.9,37390371-9da4-42d8-9304-649c50090611,https://data.gov.au/data/dataset/37390371-9da4-42d8-9304-649c50090611/resource/13b12e77-8fda-42ca-aa43-23715036836b/download/smsf_auditor_202604.csv,SMSF_CAPACITY_FIRM_NAME|SMSF_NAME,Benjamin Jenkins,https://data.gov.au/dataset/asic-smsf,0.9,Provides a register of individual registered auditors for self-managed super funds.,,25,7,8,19,True,2,"[""\ufeffREGISTER_NAME"", ""SMSF_NAME"", ""SMSF_PERSON_ABN"", ""SMSF_CAPACITY_FIRM_NAME""]",TSV,ASIC – Self-Managed Super Fund Auditor Dataset,yes,A condition or registration detail for a registered SMSF auditor,The dataset contains records of licensed SMSF auditors including their registered professional names and associated firm names.
True,1.0,8a1ad782-3d60-4c34-8cd8-f11c031947b7,https://fjc-vic-gov.my.salesforce-sites.com/downloadCertExport,EntityName| TradeName| ABN,Zauner Construction Pty Limited,https://data.gov.au/dataset/fair-jobs-code-registers,0.9,A registry of specific businesses compliant with the Fair Jobs Code.,,26,8,0,7,True,14,"[""EntityName"", "" TradeName"", "" ABN""]",CSV,Fair Jobs Code Registers,yes,a Fair Jobs Code certificate issued to a business,"The dataset contains company names, trade names, and ABNs for businesses registered under the Fair Jobs Code."
True,1.0,c6f35652-d145-478a-8c54-11ce5db4dd16,https://data.nsw.gov.au/data/dataset/c6f35652-d145-478a-8c54-11ce5db4dd16/resource/85dd2cce-8f3c-4e9b-bee2-adce13bca10d/download/premises-list-as-of-1-november-2020.csv,Licence name|Licensee,Charlestown Golf Club Ltd,https://data.gov.au/dataset/nsw-premises-list-as-of-1-nov-2020,0.9,Lists individual liquor licence premises in NSW.,,28,0,0,32,True,12,"[""Trading Status"", ""Licence name"", ""Licensee"", ""Business type"", ""Authorisation restriction name"", ""Extended trading"", ""Reduced trading""]",CSV,Premises list as of 1 Nov 2020,yes,a licensed liquor and gaming premises,The file contains business names and licensee organisation names for liquor and gaming licence holders.
True,1.0,d61374dd-1a62-4132-913d-35d90cfdac81,https://data.gov.au/data/dataset/d61374dd-1a62-4132-913d-35d90cfdac81/resource/8ff87fe0-d50e-450f-9b51-21366072d449/download/iplord_1901_2020_full_data_set.csv,party_name,bacoz developments pty ltd,https://data.gov.au/dataset/intellectual-property-longitudinal-research-data-2020,0.9,Provides an applicant-centric view of intellectual property filings.,,34,0,0,77,False,8,"[""party_name""]",CSV,Intellectual Property Longitudinal Research Data (IPLORD),yes,an intellectual property applicant/party record by financial year,The dataset explicitly contains Australian company names in the party_name column associated with IP registrations.
True,1.0,34b35c52-8af0-4cc1-aa0b-2278f6416d09,https://data.gov.au/data/dataset/34b35c52-8af0-4cc1-aa0b-2278f6416d09/resource/76006467-18f2-4094-a1cb-50544fd9b7b2/download/datadotgov_ais19.csv,abn|charity name|other organisation names,,https://data.gov.au/dataset/acnc-2019-annual-information-statement-data,0.9,This dataset contains registry information for registered Australian charities.,,35,8,0,167,True,10,"[""abn"", ""charity name"", ""other organisation names"", ""report consolidated with more than one entity""]",CSV,ACNC 2019 Annual Information Statement Data,yes,An annual information statement record for a registered Australian charity,"The dataset records Australian charities identified by ABN, charity name, and other organisation names."
False,,57d6ae20-3139-44e0-92cb-a2e706a8eba0,https://www.data.act.gov.au/api/v3/views/wp9g-3hg8/export.csv?accessType=DOWNLOAD,,,https://data.gov.au/dataset/wp9g-3hg8,0.9,Contract registers list individual supplier contracts as events.,download failed: HTTP 403,36,,,,,,,,Contracts ACT Report as at 31 December 2020,,,
True,1.0,ab94e84b-114a-4b57-b497-725ad4ca975e,http://data.gov.au/storage/f/2013-05-12T202412/tmph1yFnyAusTender-Contract-Notice-Export_130105.xls,"=""Fire Response Pty Ltd""|=""32003635103""",CLICKS RECRUIT PTY LTD,https://data.gov.au/dataset/austender-contract-notice-export,0.9,A recurring export of government contract notices listing individual contract awards.,,41,3,0,5,False,7,"[""=\""Defence Materiel Organisation\""\t=\""\""\t=\""CN1122002\""\t04-Jan-13 08:00 AM\t \t=\""published\""\t02-Jan-13\t26-Feb-13\t29546.00\t\"" Fire Hose Nozzle""]",CSV,AusTender Contract Notice Export,yes,government procurement contract notice,The dataset contains Australian government tender awards listing supplier business names and Australian Business Numbers (ABNs).
True,0.95,e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39,https://data.gov.au/data/dataset/e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39/resource/741da9e3-7e0c-458e-830c-c518698e1788/download/bd_per_202609.csv,,,https://data.gov.au/dataset/asic-banned-disqualified-per,0.9,This lists banned individuals or entities disqualified from roles.,,42,0,8,11,False,0,"[""\ufeffREGISTER_NAME"", ""BD_PER_NAME""]",CSV,ASIC - Banned and Disqualified Persons Dataset,no,a banned or disqualified individual,"The dataset contains names of individual persons who are banned or disqualified, not identifiable business entities."
False,,3a4d1d90-f164-402a-a775-e280c1bd3c54,https://www.data.qld.gov.au/dataset/3a4d1d90-f164-402a-a775-e280c1bd3c54/resource/fe3822a1-2390-45f0-be7b-0164f88106cd/download/qhrc-contract-disclosures-july-2026.csv,,,https://data.gov.au/dataset/contract-disclosures,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,download failed: HTTP 202,43,,,,,,,,Contracts,,,
